,Entity,Year,Records Lost,Organisation,Method of Leak,Data Sensitivity
2,AOL,2004,92000000,web,inside job,E-mail Address or Online Information
3,Automatic Data Processing,2005,125000,financial,poor security,SSN/Personal Details
4,Ameritrade Inc.,2005,200000,financial,lost / stolen device,SSN/Personal Details
5,Citigroup,2005,3900000,financial,lost / stolen device,Credit Card Information
6,Cardsystems Solutions Inc. ,2005,40000000,financial,hacked,Credit Card Information
7,Hewlett Packard,2006,200000,"tech, retail",lost / stolen device,SSN/Personal Details
8,Countrywide Financial Corp,2006,2600000,financial,inside job,Credit Card Information
9,KDDI,2006,4000000,telecoms,hacked,E-mail Address or Online Information
10,"T-Mobile, Deutsche Telecom",2006,17000000,telecoms,lost / stolen device,E-mail Address or Online Information
11,AOL,2006,20000000,web,accidentally published,E-mail Address or Online Information
12,US Dept of Vet Affairs,2006,26500000,"government, military",lost / stolen device,SSN/Personal Details
13,Texas Lottery,2007,89000,government,inside job,SSN/Personal Details
14,City and Hackney Teaching Primary Care Trust,2007,160000,government,lost / stolen device,SSN/Personal Details
15,Gap Inc,2007,800000,retail,lost / stolen device,SSN/Personal Details
16,Compass Bank,2007,1000000,financial,inside job,Credit Card Information
17,Monster.com,2007,1600000,web,hacked,SSN/Personal Details
18,Driving Standards Agency,2007,3000000,government,lost / stolen device,SSN/Personal Details
19,"Driving Standards Agency,",2007,3000000,government,lost / stolen device,SSN/Personal Details
20,Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked,Credit Card Information
21,TD Ameritrade,2007,6300000,financial,hacked,E-mail Address or Online Information
22,Fidelity National Information Services,2007,8500000,financial,inside job,Credit Card Information
23,Dai Nippon Printing,2007,8637405,retail,inside job,E-mail Address or Online Information
24,UK Revenue & Customs,2007,25000000,government,lost / stolen device,E-mail Address or Online Information
25,TK / TJ Maxx,2007,94000000,retail,hacked,Credit Card Information
26,Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen device,SSN/Personal Details
27,Stanford University,2008,72000,academic,lost / stolen device,SSN/Personal Details
28,UK Home Office,2008,84000,government,lost / stolen device,SSN/Personal Details
29,AT&T,2008,113000,telecoms,lost / stolen device,E-mail Address or Online Information
30,Starbucks,2008,97000,retail,lost / stolen device,SSN/Personal Details
31,RBS Worldpay,2008,1500000,financial,hacked,SSN/Personal Details
32,Jefferson County,2008,1600000,government,accidentally published,SSN/Personal Details
33,UK Ministry of Defence,2008,1700000,government,lost / stolen device,Full Bank account Details
34,University of Miami,2008,2100000,academic,lost / stolen device,Credit Card Information
35,University of Utah Hospitals & Clinics,2008,2200000,academic,lost / stolen device,E-mail Password or Health Records
36,Norwegian Tax Authorities,2008,3950000,government,accidentally published,SSN/Personal Details
37,Data Processors International,2008,5000000,financial,hacked,E-mail Address or Online Information
38,Chile Ministry Of Education,2008,6000000,government,hacked,E-mail Address or Online Information
39,GS Caltex,2008,11100000,energy,inside job,SSN/Personal Details
40,BNY Mellon Shareowner Services,2008,12500000,financial,lost / stolen device,E-mail Address or Online Information
41,Auction.co.kr,2008,18000000,web,hacked,Credit Card Information
42,US Dept of Defense,2009,72000,military,lost / stolen device,SSN/Personal Details
